,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ambos sexos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,30,31,32,32,34,35,36,39,40,42,44,45,47,51,53,56,60,65,71,76,82,87,94,101,107,114,120,127,132,138,143,147,151,155,160,166,172,179,186,194,203,212,223,234,249,264,287,313,343,377,417,461,509,561,612,662,714,769,824,882,945,"1,010","1,080","1,155","1,235","1,319","1,408","1,500","1,595","1,687","1,782",1881,1982,2085,2190,2298,2412,2534,2661,2792,2926,3065,3206,3358,3518,3687,3867,4052,4244,4436,4625,4810,4992,5179,5402,5622,5855,6105,6374,6662,6962
94,20,21,22,22,23,24,25,26,28,29,30,32,32,34,37,39,42,46,50,55,60,65,69,75,81,86,92,96,101,105,109,112,114,117,120,124,129,134,139,145,151,158,166,175,186,199,215,236,258,285,314,349,388,426,466,506,548,591,638,684,733,786,841,901,964,"1,032","1,104","1,179","1,258","1,334","1,414",1497,1583,1672,1762,1854,1949,2050,2158,2270,2386,2505,2628,2754,2889,3032,3183,3343,3509,3681,3853,4023,4190,4355,4524,4726,4925,5136,5362,5606,5867
95 a 99,33,34,35,36,37,39,41,41,43,48,50,52,54,57,60,67,77,90,103,116,130,145,162,177,194,211,225,239,251,258,264,267,269,271,276,281,288,296,307,317,330,344,363,383,422,470,534,592,650,711,777,851,936,"1,009","1,073","1,136","1,219","1,319","1,429","1,551","1,677","1,809","1,949","2,096","2,251","2,418","2,598","2,790","2,993","3,192","3,406",3633,3872,4125,4388,4661,4944,5236,5542,5861,6199,6554,6924,7311,7710,8129,8568,9032,9523,10041,10586,11152,11731,12312,12898,13486,14107,14753,15432,16157,16932
95,13,14,14,15,15,16,17,17,18,20,20,21,22,23,24,27,29,32,36,39,44,48,52,56,61,66,70,74,77,80,83,85,87,88,90,93,96,99,103,107,112,117,123,129,139,149,163,178,196,215,238,263,293,323,350,380,413,448,483,523,561,602,646,692,742,795,852,913,976,"1,039","1,104",1172,1244,1318,1395,1473,1554,1636,1725,1819,1917,2019,2123,2232,2343,2462,2588,2722,2863,3010,3163,3316,3468,3617,3765,3917,4098,4277,4466,4669,4888
96,9,9,9,9,10,10,11,11,12,12,14,14,14,15,16,17,21,23,25,29,32,36,40,43,47,51,55,58,61,62,64,65,66,67,68,69,72,74,76,79,82,86,91,96,104,114,127,139,152,167,183,202,223,243,263,281,305,332,361,390,423,454,488,524,562,604,648,695,746,794,848,903,961,1022,1085,1151,1218,1288,1359,1435,1517,1602,1690,1781,1876,1973,2077,2187,2304,2428,2557,2691,2826,2960,3093,3224,3360,3520,3679,3848,4028
97,5,6,6,6,6,7,7,7,7,8,8,9,9,9,10,12,13,17,19,21,24,27,31,34,37,40,43,46,48,50,50,50,50,51,52,52,53,55,57,58,61,63,67,71,79,89,102,113,123,134,146,159,175,186,197,208,222,242,263,287,310,337,362,390,419,450,485,521,559,598,638,683,729,778,829,883,938,995,1055,1115,1180,1251,1323,1399,1477,1559,1643,1733,1828,1929,2037,2149,2266,2383,2501,2617,2733,2853,2993,3133,3282
98,3,3,4,4,4,4,4,4,4,5,5,5,6,6,6,7,9,11,14,16,18,20,23,26,29,31,33,36,38,38,39,39,38,38,39,39,39,40,42,43,44,46,48,52,59,69,82,92,101,110,118,128,138,146,149,153,162,173,189,206,225,243,265,285,307,331,356,384,413,441,473,506,543,581,622,664,709,755,803,853,904,959,1019,1080,1144,1211,1280,1352,1429,1510,1597,1690,1786,1886,1988,2090,2190,2291,2396,2518,2640
99,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5,7,9,11,12,14,16,18,20,23,24,25,27,28,28,28,28,27,27,28,28,28,29,30,31,32,34,35,41,49,60,70,78,85,92,99,107,111,114,114,117,124,133,145,158,173,188,205,221,238,257,277,299,320,343,369,395,426,457,490,525,562,600,639,681,723,769,819,870,924,980,1038,1099,1164,1232,1306,1385,1466,1551,1638,1726,1812,1898,1989,2094
100 o más,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,6,8,10,13,15,18,21,24,27,31,34,36,39,41,43,44,45,45,45,45,46,46,47,48,50,52,54,56,61,71,86,104,123,143,163,185,208,228,245,257,269,283,300,322,348,378,412,449,489,532,578,627,712,795,877,962,1049,1142,1240,1344,1454,1570,1692,1820,1956,2098,2248,2407,2575,2753,2941,3138,3346,3565,3796,4042,4304,4581,4874,5181,5501,5831,6168,6516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mujeres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"1,535,785","1,576,540","1,619,086","1,663,469","1,709,733","1,757,943","1,808,158","1,860,448","1,914,859","1,971,435","2,030,160","2,090,962","2,153,665","2,218,048","2,283,811","2,350,639","2,418,481","2,487,008","2,555,857","2,624,718","2,693,464","2,762,173","2,831,180","2,900,798","2,971,420","3,043,148","3,116,310","3,191,605","3,270,203","3,353,004","3,440,690","3,533,149","3,630,274","3,731,207","3,835,536","3,943,323","4,054,471","4,169,042","4,286,903","4,407,776","4,531,027","4,655,759","4,781,106","4,906,628","5,032,941","5,160,985","5,289,900","5,419,728","5,552,851","5,689,406","5,832,689","5,977,542","6,119,545","6,257,532","6,395,223","6,532,804","6,669,943","6,806,546","6,942,507","7,077,836","7,212,539","7,348,427","7,483,679","7,619,771","7,756,061","7,891,793","8,027,061","8,161,912","8,296,403","8,429,311","8,560,570",8690024,8817420,8942697,9065753,9186596,9305341,9421962,9536522,9649045,9759538,9868044,9974600,10079239,10181984,10282859,10381883,10479071,10574410,10667877,10759440,10849053,10936672,11022241,11105700,11186992,11266062,11342844,11417281,11489304,11558860
0 a 4,"283,167","290,809","298,966","307,633","316,799","326,430","336,345","346,625","357,273","368,296","379,693","391,452","403,532","415,886","428,429","441,084","453,905","466,862","479,860","492,823","506,064","519,059","531,784","544,270","556,578","568,783","580,988","593,321","605,968","618,875","632,438","646,750","661,864","677,625","693,897","710,556","727,461","744,395","761,279","777,947","794,190","809,760","824,392","837,849","850,193","861,307","870,723","878,276","886,570","895,927","909,710","922,717","930,692","929,133","924,582","914,097","903,188","896,440","896,329","896,253","896,309","898,351","900,531","904,360","909,193","914,216","917,709","921,517","924,168","924,678","923,439",920214,914798,907110,898599,889598,880269,870773,861264,851875,842708,833847,825348,817242,809542,802246,795331,788768,782516,776515,770702,765017,759398,753795,748168,742489,736739,730906,724980,718953,712816
0,"65,848","67,626","69,389","71,218","73,116","75,082","77,120","79,230","81,413","83,669","85,994","88,381","90,802","93,253","95,714","98,183","101,163","104,142","107,069","109,925","112,700","115,394","118,024","120,610","123,174","125,491","127,826","130,212","132,708","135,366","138,214","141,242","144,425","147,612","150,843","154,088","157,319","160,509","163,626","166,628","169,463","172,064","174,369","176,343","178,006","179,358","180,308","180,950","183,832","186,714","192,519","192,714","188,312","181,518","181,466","181,354","181,229","181,137","181,093","181,076","181,086","182,939","182,998","184,610","185,610","185,819","186,122","186,503","186,916","185,821","184,360",182746,180996,179142,177220,175266,173315,171394,169523,167719,165991,164349,162792,161319,159926,158606,157350,156149,154987,153849,152721,151595,150462,149317,148156,146978,145782,144567,143329,142068,140782
1,"59,269","60,871","62,747","64,616","66,556","68,568","70,651","72,811","75,046","77,359","79,749","82,212","84,742","87,309","89,905","92,510","94,705","97,400","100,094","102,740","105,321","107,833","110,280","112,679","115,050","117,661","120,046","122,463","124,949","127,556","130,333","133,296","136,437","139,778","143,120","146,509","149,913","153,306","156,660","159,942","163,104","166,093","168,843","171,297","173,469","175,346","176,820","177,865","178,606","181,565","184,529","190,394","190,708","186,484","179,808","179,807","179,738","179,656","179,616","179,624","179,659","179,720","181,613","181,722","183,376","184,423","184,683","185,036","185,479","185,915","184,827",183375,181770,180031,178188,176277,174336,172398,170490,168632,166840,165124,163494,161948,160485,159102,157792,156545,155353,154200,153070,151951,150833,149709,148572,147419,146250,145062,143856,142626,141374
2,"55,640","57,142","58,750","60,624","62,493","64,435","66,448","68,533","70,696","72,934","75,250","77,643","80,109","82,640","85,203","87,789","90,375","92,564","95,240","97,914","100,543","103,112","105,621","108,074","110,488","112,883","115,521","117,949","120,428","122,988","125,678","128,536","131,576","134,747","138,110","141,477","144,892","148,325","151,747","155,131","158,437","161,616","164,617","167,380","169,903","172,166","174,131","175,659","176,761","177,561","180,574","183,598","189,515","189,912","185,724","179,090","179,112","179,067","179,011","178,996","179,029","179,090","179,176","181,090","181,224","182,900","183,972","184,256","184,642","185,099","185,541",184462,183018,181422,179691,177857,175956,174025,172097,170199,168350,166567,164860,163238,161700,160244,158868,157565,156325,155139,153992,152868,151754,150642,149523,148391,147243,146079,144896,143694,142468
3,"52,491","53,907","55,408","57,012","58,877","60,739","62,673","64,679","66,756","68,911","71,141","73,447","75,828","78,280","80,789","83,323","85,883","88,447","90,619","93,266","95,913","98,520","101,077","103,583","106,042","108,468","110,883","113,551","116,031","118,577","121,213","123,977","126,905","129,989","133,199","136,601","140,009","143,469","146,949","150,418","153,843","157,183","160,389","163,419","166,274","168,914","171,245","173,239","174,799","175,937","176,777","179,829","182,895","188,855","189,263","185,102","178,502","178,546","178,519","178,482","178,485","178,536","178,615","178,719","180,648","180,800","182,493","183,581","183,888","184,285","184,749",185198,184126,182691,181103,179381,177557,175666,173745,171827,169938,168098,166324,164625,163011,161480,160031,158662,157366,156132,154952,153811,152692,151584,150477,149363,148236,147092,145933,144754,143556
4,"49,918","51,263","52,672","54,163","55,757","57,606","59,453","61,372","63,362","65,423","67,559","69,769","72,051","74,404","76,818","79,279","81,779","84,309","86,838","88,978","91,587","94,200","96,782","99,324","101,824","104,280","106,712","109,146","111,852","114,388","117,000","119,699","122,521","125,499","128,625","131,881","135,328","138,786","142,297","145,828","149,343","152,804","156,174","159,410","162,541","165,523","168,219","170,563","172,572","174,150","175,311","176,182","179,262","182,364","188,321","188,744","184,607","178,034","178,090","178,075","178,050","178,066","178,129","178,219","178,335","180,274","180,439","182,141","183,243","183,558","183,962",184433,184888,183824,182397,180817,179105,177290,175409,173498,171589,169709,167878,166112,164420,162814,161290,159847,158485,157195,155967,154792,153657,152543,151440,150338,149228,148106,146966,145811,144636
5 a 9,"222,459","228,442","234,644","241,083","247,802","254,857","262,455","270,543","279,130","288,197","297,712","307,495","317,606","328,033","338,711","349,587","360,675","372,026","383,591","395,298","406,713","418,274","430,005","441,886","453,909","466,360","478,749","491,093","503,514","516,359","529,490","542,907","556,631","570,628","584,750","599,359","614,550","630,480","647,048","664,142","681,583","699,160","716,596","733,827","751,100","768,425","785,424","801,545","816,473","829,986","841,848","851,928","860,264","869,605","879,953","894,618","908,359","916,986","915,907","911,774","901,671","891,109","884,685","884,873","885,092","885,445","887,760","890,222","894,311","899,413","904,725",908518,912616,915469,916157,915107,912091,906900,899450,891184,882434,873351,864097,854822,845654,836701,828045,819738,811814,804291,797164,790412,784004,777898,772038,766362,760807,755315,749833,744323,738758
5,"47,809","49,096","50,435","51,835","53,317","54,900","56,735","58,569","60,474","62,448","64,492","66,609","68,796","71,050","73,364","75,727","78,149","80,613","83,102","85,586","87,686","90,253","92,834","95,393","97,922","100,408","102,858","105,299","107,764","110,516","113,111","115,777","118,526","121,387","124,397","127,556","130,845","134,329","137,824","141,372","144,932","148,464","151,933","155,312","158,633","161,877","164,915","167,618","169,971","171,993","173,589","174,776","175,675","178,794","181,898","187,866","188,305","184,188","177,629","177,693","177,687","177,670","177,695","177,766","177,863","177,988","179,934","180,107","181,816","182,924","183,246",183657,184135,184596,183540,182121,180551,178848,177043,175172,173270,171370,169499,167676,165917,164233,162634,161117,159680,158324,157040,155818,154648,153518,152409,151311,150213,149108,147990,146854,145703
6,"45,988","47,225","48,510","49,844","51,239","52,716","54,293","56,120","57,946","59,842","61,805","63,837","65,937","68,104","70,324","72,592","74,911","77,295","79,714","82,154","84,589","86,647","89,178","91,733","94,276","96,784","99,257","101,710","104,178","106,688","109,496","112,142","114,854","117,628","120,505","123,533","126,708","130,017","133,520","137,032","140,587","144,140","147,653","151,102","154,544","157,958","161,262","164,308","167,020","169,386","171,428","173,051","174,269","175,221","178,348","181,471","187,450","187,903","183,795","177,247","177,318","177,318","177,308","177,339","177,416","177,519","177,651","179,601","179,779","181,493","182,608",182938,183355,183840,184308,183261,181852,180292,178599,176804,174942,173049,171158,169296,167481,165729,164053,162461,160950,159520,158170,156892,155675,154510,153385,152281,151188,150094,148994,147880,146748
7,"44,350","45,543","46,779","48,061","49,392","50,783","52,257","53,829","55,650","57,469","59,357","61,310","63,328","65,410","67,543","69,715","71,932","74,208","76,542","78,905","81,288","83,671","85,689","88,187","90,721","93,238","95,728","98,200","100,679","103,193","105,761","108,619","111,311","114,043","116,826","119,713","122,751","125,939","129,259","132,770","136,279","139,815","143,336","146,814","150,314","153,839","157,313","160,623","163,679","166,404","168,790","170,861","172,517","173,805","174,780","177,937","181,070","187,057","187,515","183,415","176,876","176,952","176,958","176,953","176,988","177,071","177,179","177,316","179,267","179,450","181,171",182294,182631,183055,183547,184023,182987,181588,180038,178355,176570,174718,172834,170951,169098,167291,165546,163877,162292,160788,159364,158020,156748,155536,154377,153257,152157,151069,149979,148884,147774
8,"42,853","44,005","45,196","46,430","47,709","49,037","50,424","51,895","53,462","55,277","57,089","58,967","60,907","62,908","64,954","67,035","69,149","71,316","73,535","75,805","78,103","80,425","82,759","84,739","87,208","89,712","92,208","94,695","97,192","99,717","102,291","104,911","107,815","110,525","113,263","116,054","118,948","121,995","125,192","128,516","132,020","135,503","138,999","142,477","145,993","149,566","153,143","156,623","159,941","163,010","165,756","168,174","170,280","172,030","173,358","174,380","177,544","180,683","186,672","187,134","183,041","176,509","176,590","176,599","176,598","176,638","176,725","176,837","176,974","178,929","179,120",180849,181979,182324,182755,183255,183742,182716,181328,179788,178116,176340,174498,172623,170748,168904,167104,165367,163705,162127,160629,159212,157874,156607,155401,154247,153132,152037,150953,149867,148777
9,"41,459","42,573","43,724","44,913","46,145","47,421","48,746","50,130","51,598","53,161","54,969","56,772","58,638","60,561","62,526","64,518","66,534","68,594","70,698","72,848","75,047","77,278","79,545","81,834","83,782","86,218","88,698","91,189","93,701","96,245","98,831","101,458","104,125","107,045","109,759","112,503","115,298","118,200","121,253","124,452","127,765","131,238","134,675","138,122","141,616","145,185","148,791","152,373","155,862","159,193","162,285","165,066","167,523","169,755","171,569","172,964","173,990","177,155","180,296","186,285","186,749","182,660","176,134","176,216","176,227","176,229","176,271","176,361","176,475","176,617","178,580",178780,180516,181654,182007,182447,182959,183456,182442,181065,179536,177874,176108,174276,172410,170544,168708,166916,165187,163532,161961,160470,159059,157727,156466,155266,154117,153007,151917,150838,149756
10 a 14,"188,587","193,648","198,880","204,278","209,850","215,604","221,552","227,708","234,096","240,758","247,738","255,230","263,163","271,531","280,223","289,140","298,027","307,010","316,078","325,242","334,535","344,021","353,764","363,809","374,174","384,460","395,105","406,167","417,715","429,786","442,740","456,006","469,472","482,966","496,665","510,378","524,146","538,038","552,159","566,394","581,033","596,081","611,601","627,487","643,672","660,329","677,357","694,795","712,563","730,458","748,272","765,746","782,527","798,956","814,320","828,217","839,882","849,324","859,145","869,715","884,392","898,140","906,775","905,721","901,613","891,547","881,030","874,645","874,853","875,139","875,615",878093,880745,885050,890378,895920,899957,904316,907448,908434,907686,904966,900067,892901,884909,876420,867588,858575,849530,840580,831836,823379,815263,807522,800173,793211,786616,780359,774398,768675,763131
10,"40,143","41,221","42,336","43,485","44,672","45,902","47,176","48,499","49,880","51,345","52,903","54,703","56,494","58,345","60,231","62,143","64,067","66,026","68,021","70,052","72,128","74,257","76,429","78,648","80,901","82,816","85,226","87,700","90,215","92,774","95,379","98,018","100,691","103,373","106,295","109,013","111,760","114,561","117,468","120,521","123,706","126,986","130,410","133,794","137,234","140,759","144,341","147,951","151,542","155,045","158,400","161,530","164,354","166,965","169,281","171,177","172,572","173,596","176,761","179,901","185,889","186,354","182,268","175,745","175,827","175,839","175,843","175,886","175,978","176,098","176,249",178222,178430,180174,181321,181683,182135,182659,183168,182166,180800,179282,177631,175875,174053,172196,170339,168511,166728,165006,163359,161795,160311,158906,157580,156325,155131,153987,152882,151797,150723
11,"38,887","39,931","41,010","42,124","43,271","44,457","45,686","46,958","48,280","49,658","51,119","52,671","54,460","56,237","58,053","59,887","61,731","63,598","65,491","67,413","69,369","71,374","73,444","75,567","77,748","79,967","81,857","84,260","86,757","89,318","91,936","94,593","97,276","99,963","102,646","105,571","108,291","111,043","113,847","116,753","119,791","122,942","126,172","129,542","132,896","136,343","139,858","143,445","147,064","150,669","154,198","157,593","160,768","163,767","166,478","168,888","170,778","172,166","173,189","176,352","179,490","185,475","185,940","181,854","175,332","175,414","175,426","175,430","175,472","175,570","175,701",175863,177844,178062,179815,180973,181348,181812,182349,182871,181881,180527,179021,177381,175636,173824,171976,170129,168310,166535,164821,163182,161625,160148,158750,157430,156181,154993,153854,152755,151675
12,"37,679","38,690","39,735","40,813","41,927","43,073","44,258","45,487","46,758","48,078","49,453","50,909","52,452","54,227","55,971","57,739","59,508","61,296","63,098","64,919","66,768","68,655","70,601","72,622","74,707","76,855","79,048","80,932","83,357","85,897","88,515","91,182","93,882","96,577","99,265","101,950","104,876","107,599","110,354","113,156","116,047","119,051","122,152","125,329","128,651","131,994","135,414","138,933","142,529","146,163","149,794","153,364","156,805","160,165","163,271","166,078","168,477","170,355","171,740","172,760","175,920","179,054","185,035","185,496","181,409","174,888","174,968","174,979","174,979","175,028","175,138",175281,175453,177444,177673,179437,180609,180998,181476,182027,182562,181585,180244,178750,177121,175387,173586,171748,169911,168101,166335,164629,162998,161449,159979,158588,157274,156032,154850,153716,152623
13,"36,508","37,488","38,500","39,545","40,623","41,737","42,883","44,068","45,297","46,567","47,885","49,255","50,703","52,233","53,977","55,677","57,384","59,099","60,824","62,556","64,306","66,087","67,917","69,816","71,799","73,852","75,975","78,161","80,066","82,532","85,126","87,791","90,498","93,210","95,904","98,594","101,279","104,208","106,933","109,685","112,473","115,330","118,286","121,335","124,443","127,730","131,023","134,448","137,976","141,586","145,247","148,921","152,539","156,176","159,651","162,857","165,650","168,031","169,904","171,285","172,301","175,455","178,584","184,557","185,013","180,924","174,403","174,481","174,484","174,492","174,554",174677,174832,175016,177018,177260,179039,180226,180631,181124,181689,182238,181274,179947,178465,176848,175126,173336,171508,169682,167881,166124,164427,162805,161263,159801,158417,157110,155875,154699,153571
14,"35,369","36,318","37,299","38,311","39,357","40,435","41,549","42,696","43,881","45,110","46,378","47,692","49,054","50,489","51,991","53,694","55,337","56,991","58,644","60,302","61,964","63,648","65,373","67,156","69,019","70,970","72,999","75,114","77,320","79,265","81,784","84,422","87,125","89,843","92,555","95,250","97,940","100,627","103,557","106,279","109,016","111,772","114,581","117,487","120,448","123,503","126,721","130,018","133,452","136,995","140,633","144,338","148,061","151,883","155,639","159,217","162,405","165,176","167,551","169,417","170,792","171,802","174,948","178,069","184,032","184,482","180,390","173,869","173,940","173,951","173,973",174050,174186,174354,174551,176567,176826,178621,179824,180246,180754,181334,181897,180948,179634,178165,176561,174851,173073,171256,169440,167649,165902,164214,162601,161067,159613,158237,156937,155708,154539
15 a 19,"160,615","164,909","169,360","173,965","178,725","183,642","188,722","193,966","199,377","204,956","210,706","216,622","222,697","228,929","235,316","241,852","248,664","255,660","262,813","270,074","277,417","284,697","292,056","299,573","307,343","315,435","323,935","332,939","342,580","352,917","363,602","374,996","387,041","399,531","412,343","425,778","439,295","452,826","466,334","480,036","493,671","507,202","520,607","533,979","547,111","560,476","574,081","588,387","603,443","619,299","635,982","653,489","671,623","690,854","710,666","730,748","750,336","768,901","786,094","801,630","815,201","826,601","835,845","845,462","855,820","870,275","883,807","892,249","891,014","886,857","876,901",866609,860515,861081,861745,862600,865469,868532,873265,879031,885015,889484,894260,897795,899171,898799,896440,891891,885066,877403,869230,860701,851977,843205,834515,826020,817801,809913,802389,795244,788478
15,"34,257","35,175","36,125","37,107","38,120","39,166","40,245","41,360","42,508","43,693","44,920","46,184","47,490","48,840","50,248","51,711","53,360","54,951","56,544","58,129","59,718","61,315","62,944","64,622","66,369","68,200","70,128","72,149","74,284","76,528","78,526","81,088","83,764","86,477","89,194","91,907","94,601","97,293","99,981","102,908","105,615","108,320","111,028","113,787","116,594","119,489","122,463","125,685","128,991","132,440","136,011","139,694","143,449","147,381","151,326","155,184","158,741","161,903","164,665","167,032","168,889","170,256","171,258","174,394","177,504","183,456","183,899","179,805","173,280","173,360","173,387",173425,173516,173667,173849,174062,176095,176372,178185,179405,179844,180368,180963,181541,180607,179307,177851,176260,174563,172797,170992,169187,167406,165669,163990,162386,160861,159415,158047,156754,155533
16,"33,168","34,058","34,976","35,927","36,910","37,924","38,971","40,051","41,167","42,315","43,499","44,722","45,978","47,271","48,596","49,966","51,376","52,972","54,502","56,027","57,543","59,067","60,608","62,190","63,831","65,547","67,354","69,275","71,315","73,489","75,784","77,827","80,426","83,112","85,824","88,542","91,254","93,950","96,642","99,327","102,238","104,913","107,570","110,228","112,894","115,643","118,463","121,441","124,672","127,992","131,468","135,083","138,814","142,770","146,818","150,856","154,689","158,216","161,367","164,118","166,474","168,321","169,678","170,670","173,793","176,892","182,831","183,268","179,170","172,659","172,757",172801,172854,172961,173127,173326,173559,175610,175907,177738,178975,179431,179972,180582,181175,180256,178970,177528,175951,174267,172513,170720,168926,167155,165429,163759,162165,160648,159211,157851,156565
17,"32,102","32,961","33,852","34,771","35,723","36,707","37,722","38,770","39,851","40,967","42,114","43,294","44,508","45,750","47,017","48,305","49,624","50,981","52,515","53,977","55,432","56,881","58,349","59,843","61,387","62,997","64,689","66,488","68,429","70,508","72,734","75,074","77,155","79,764","82,449","85,161","87,878","90,591","93,288","95,976","98,645","101,523","104,149","106,755","109,336","111,958","114,649","117,473","120,459","123,703","127,049","130,567","134,228","138,135","142,186","146,307","150,320","154,122","157,637","160,776","163,515","165,859","167,695","169,040","170,021","173,131","176,219","182,147","182,575","178,491","172,004",172121,172181,172252,172376,172560,172781,173035,175107,175424,177274,178529,179003,179561,180187,180796,179892,178621,177194,175631,173960,172219,170438,168655,166895,165180,163520,161936,160428,158999,157648
18,"31,056","31,885","32,746","33,638","34,557","35,510","36,495","37,511","38,560","39,641","40,755","41,897","43,067","44,264","45,480","46,712","47,954","49,219","50,513","51,978","53,369","54,756","56,148","57,568","59,024","60,536","62,122","63,806","65,626","67,606","69,738","72,009","74,388","76,480","79,087","81,772","84,483","87,201","89,914","92,607","95,279","97,914","100,743","103,317","105,865","108,424","111,008","113,703","116,534","119,533","122,801","126,186","129,747","133,539","137,501","141,594","145,696","149,684","153,473","156,976","160,103","162,830","165,163","166,986","168,319","169,290","172,389","175,469","181,376","181,817","177,758",171298,171433,171513,171603,171748,171957,172202,172480,174574,174914,176784,178058,178552,179128,179771,180396,179509,178254,176842,175294,173637,171910,170142,168371,166623,164919,163270,161696,160197,158777
19,"30,031","30,830","31,661","32,522","33,415","34,335","35,289","36,274","37,291","38,340","39,418","40,525","41,654","42,804","43,975","45,158","46,350","47,537","48,739","49,963","51,355","52,678","54,007","55,350","56,732","58,155","59,642","61,221","62,926","64,786","66,820","68,998","71,308","73,698","75,789","78,396","81,079","83,791","86,509","89,218","91,894","94,532","97,117","99,892","102,422","104,962","107,498","110,085","112,787","115,631","118,653","121,959","125,385","129,029","132,835","136,807","140,890","144,976","148,952","152,728","156,220","159,335","162,051","164,372","166,183","167,506","168,469","171,560","174,613","180,530","180,995",176964,170531,170688,170790,170904,171077,171313,171586,171890,174008,174372,176264,177559,178074,178669,179331,179973,179104,177866,176471,174938,173297,171584,169830,168072,166336,164644,163007,161443,159955
20 a 24,"135,544","139,114","142,829","146,688","150,693","154,849","159,155","163,617","168,230","172,990","177,885","182,893","187,978","193,098","198,284","203,538","208,876","214,145","219,306","224,360","229,348","234,489","239,803","245,351","251,169","257,270","263,532","270,128","277,243","285,019","293,557","302,856","312,886","323,487","334,562","345,716","357,338","369,426","381,907","394,693","408,010","421,235","434,213","446,899","459,839","472,953","486,132","499,213","512,286","525,290","538,665","552,650","567,511","582,958","598,859","615,461","633,251","652,004","671,468","691,281","711,035","730,285","748,565","765,470","780,717","794,010","805,150","814,167","823,415","833,535","847,945",861650,870450,869807,866285,856989,847385,841992,843260,844649,846231,849797,853530,858896,865258,871809,876823,882114,886144,887998,888085,886170,882053,875646,868385,860594,852431,844055,835616,827244,819053
20,"29,028","29,796","30,595","31,426","32,288","33,181","34,101","35,056","36,041","37,056","38,101","39,169","40,259","41,360","42,484","43,628","44,785","45,922","47,044","48,175","49,326","50,648","51,912","53,192","54,496","55,845","57,243","58,723","60,323","62,070","63,985","66,066","68,283","70,604","72,992","75,084","77,689","80,373","83,085","85,798","88,490","91,130","93,717","96,248","98,998","101,538","104,074","106,613","109,207","111,921","114,787","117,844","121,189","124,650","128,263","132,046","136,017","140,093","144,167","148,131","151,896","155,376","158,481","161,184","163,493","165,295","166,609","167,567","170,623","173,689","179,629",180121,176116,169714,169895,170024,170169,170372,170639,170941,171273,173416,173805,175720,177037,177574,178190,178871,179531,178681,177461,176083,174567,172942,171244,169504,167760,166037,164357,162732,161180
21,"28,046","28,785","29,556","30,356","31,187","32,049","32,942","33,863","34,817","35,801","36,812","37,847","38,897","39,960","41,035","42,130","43,245","44,345","45,417","46,467","47,524","48,605","49,867","51,081","52,321","53,592","54,916","56,306","57,808","59,451","61,254","63,217","65,338","67,566","69,885","72,273","74,364","76,970","79,653","82,360","85,056","87,711","90,299","92,831","95,355","98,134","100,689","103,228","105,773","108,378","111,113","114,013","117,106","120,436","123,822","127,379","131,172","135,146","139,211","143,273","147,226","150,980","154,450","157,543","160,234","162,534","164,328","165,638","166,552","169,623","172,717",178682,179199,175226,168856,169066,169229,169407,169644,169943,170276,170637,172806,173222,175160,176500,177060,177697,178398,179078,178247,177046,175685,174186,172578,170895,169170,167440,165731,164064,162451
22,"27,086","27,798","28,540","29,311","30,111","30,942","31,804","32,697","33,618","34,570","35,549","36,549","37,565","38,585","39,621","40,668","41,737","42,795","43,829","44,827","45,802","46,788","47,809","49,020","50,194","51,400","52,646","53,962","55,375","56,920","58,620","60,472","62,477","64,608","66,834","69,153","71,539","73,632","76,238","78,915","81,604","84,263","86,865","89,397","91,944","94,520","97,336","99,894","102,439","104,995","107,619","110,385","113,319","116,355","119,574","122,875","126,448","130,251","134,214","138,268","142,319","146,262","150,005","153,463","156,545","159,227","161,520","163,310","164,573","165,505","168,605",171729,177715,178262,174320,167987,168233,168430,168644,168916,169247,169611,170001,172197,172639,174601,175964,176546,177205,177926,178625,177813,176631,175288,173806,172214,170547,168837,167121,165426,163771
